Package,Version
libss2,1.46.2-2
libssh2-1,1.9.0-2
libssl1.1,1.1.1n-0+deb11u5
libstdc++6,10.2.1-6
libsub-exporter-perl,0.987-1
libsub-install-perl,0.928-1.1
libsystemd0,247.3-7+deb11u4
libtasn1-6,4.16.0-2+deb11u1
libthai-data,0.1.28-3
libthai0,0.1.28-3
libtiff5,4.2.0-1+deb11u4
libtinfo5,6.2+20201114-2+deb11u1
libtinfo6,6.2+20201114-2+deb11u1
libtirpc-common,1.3.1-1+deb11u1
libtirpc3,1.3.1-1+deb11u1
libtry-tiny-perl,0.30-1
libudev1,247.3-7+deb11u4
libunicode-linebreak-perl,0.0.20190101-1+b3
libunistring2,0.9.10-4
libuuid1,2.36.1-8+deb11u1
libvulkan1,1.2.162.0-1
libwebp6,0.6.1-2.1+deb11u2
libx11-6,2:1.7.2-1+deb11u1
libx11-data,2:1.7.2-1+deb11u1
libx11-xcb1,2:1.7.2-1+deb11u1
libxau6,1:1.0.9-1
libxcb-dri2-0,1.14-3
libxcb-dri3-0,1.14-3
libxcb-glx0,1.14-3
libxcb-present0,1.14-3
libxcb-render0,1.14-3
libxcb-shm0,1.14-3
libxcb-sync1,1.14-3
libxcb-xfixes0,1.14-3
libxcb1,1.14-3
libxdamage1,1:1.1.5-2
libxdmcp6,1:1.1.2-3
libxext6,2:1.3.3-1.1
libxfixes3,1:5.0.3-2
libxi6,2:1.7.10-1
libxpm4,1:3.5.12-1.1~deb11u1
libxrender1,1:0.9.10-1
libxshmfence1,1.3-1
libxtst6,2:1.2.3-1
libxxf86vm1,1:1.1.4-1+b2
libxxhash0,0.8.0-2
libyaml-tiny-perl,1.73-1
libz3-4,4.8.10-1
libzstd1,1.4.8+dfsg-2.1
login,1:4.8.1-1
logsave,1.46.2-2
lsb-base,11.1.0
make,4.3-4.1
mawk,1.3.4.20200120-2
media-types,4.0.0
mount,2.36.1-8+deb11u1
ncurses-base,6.2+20201114-2+deb11u1
ncurses-bin,6.2+20201114-2+deb11u1
openjdk-11-jre,11.0.20+8-1~deb11u1
openjdk-11-jre-headless,11.0.20+8-1~deb11u1
openssl,1.1.1n-0+deb11u5
passwd,1:4.8.1-1
perl,5.32.1-4+deb11u2
perl-base,5.32.1-4+deb11u2
perl-modules-5.32,5.32.1-4+deb11u2
poppler-data,0.4.10-1
python3,3.9.2-3
python3-minimal,3.9.2-3
python3-pkg-resources,52.0.0-4
python3-pygments,2.7.1+dfsg-2.1
python3.9,3.9.2-1
python3.9-minimal,3.9.2-1
readline-common,8.1-1
sed,4.7-1
sensible-utils,0.0.14
sysvinit-utils,2.96-7+deb11u1
tar,1.34+dfsg-1
tzdata,2021a-1+deb11u10
ucf,3.0043
unzip,6.0-26+deb11u1
util-linux,2.36.1-8+deb11u1
wget,1.21-1+deb11u1
x11-common,1:7.7+22
zlib1g,1:1.2.11.dfsg-2+deb11u2
