Package,Version
asyfig,0.1c
asymptote,2.49
asymptote-by-example-zh-cn,
asymptote-faq-zh-cn,
asymptote-manual-zh-cn,
asymptote.aarch64-linux,
asypictureb,0.3
atbegshi,1.19
atenddvi,1.4
attachfile,1.9
attachfile2,2.11
attachfile2.aarch64-linux,
atveryend,1.11
aucklandthesis,
augie,
auncial-new,2.0
aurical,1.5
aurl,
authoraftertitle,0.9
authorarchive,1.1.1
authordate,
authorindex,
authorindex.aarch64-linux,
auto-pst-pdf,0.6
auto-pst-pdf-lua,0.03
autoaligne,1.4
autoarea,0.3a
autobreak,0.3
automata,0.3
autonum,0.3.11
autopdf,1.1
autosp,
autosp.aarch64-linux,
auxhook,1.6
avantgar,
avremu,0.1
awesomebox,0.6
axessibility,3.0
axodraw2,2.1.1b
axodraw2.aarch64-linux,
b1encoding,1.0
babel,3.41
babel-albanian,1.0c
babel-azerbaijani,1.0a
babel-basque,1.0f
babel-belarusian,1.5
babel-bosnian,1.1
babel-breton,1.0h
babel-bulgarian,1.2g
babel-catalan,2.2p
babel-croatian,1.3l
babel-czech,3.1a
babel-danish,1.3r
babel-dutch,3.8i
babel-english,3.3r
babel-esperanto,1.4t
babel-estonian,1.1a
babel-finnish,1.3q
babel-french,3.5g
babel-friulan,1.3
babel-galician,4.3c
babel-georgian,2.2
babel-german,2.11
babel-greek,1.9i
babel-hebrew,2.3h
babel-hungarian,1.5c
babel-icelandic,1.3
babel-indonesian,1.0m
babel-interlingua,1.6
babel-irish,1.0h
babel-italian,1.4.03
babel-japanese,2.2
babel-kurmanji,1.1
babel-latin,3.5
babel-latvian,2.0b
babel-macedonian,
babel-malay,1.0m
babel-norsk,2.0i
babel-occitan,0.2
babel-piedmontese,1.0
babel-polish,1.2l
babel-portuges,1.2q
babel-romanian,1.2l
babel-romansh,
babel-russian,1.3j
babel-samin,1.0c
babel-scottish,1.0g
babel-serbian,2.0a
babel-serbianc,3.0a
babel-slovak,3.1a
babel-slovenian,1.2i
babel-sorbian,lower sorbian:1.0g, upper:1.0k
babel-spanglish,0.3
babel-spanish,5.0p
babel-swedish,2.3d
babel-thai,1.0.0
babel-turkish,1.4
babel-ukrainian,1.4c
babel-vietnamese,1.4
babel-welsh,1.1a
babelbib,1.32
background,2.1
backnaur,3.1
baekmuk,2.2
bagpipe,3.02
bangorcsthesis,1.5.3
bangorexam,1.4.0
bangtex,
bankstatement,0.9.2
barcodes,
bardiag,0.4a
barr,
barracuda,0.0.10
bartel-chess-fonts,
bashful,0.93
basicarith,1.1
baskervald,1.016
baskervaldx,1.073
baskervillef,1.050
basque-book,1.20
basque-date,1.05
bath-bst,3.2
bbcard,
bbding,1.01
bbm,
bbm-macros,
bbold,1.01
bbold-type1,
bchart,0.1.3
bclogo,3.1
beamer,3.57
beamer-FUBerlin,0.02b
beamer-rl,1.3
beamer-tut-pt,
beamer-verona,0.2
beamer2thesis,2.2
beameraudience,0.1
beamerauxtheme,1.01
