Package,Version
libsmartcols1,2.33.1-0.1
libsombok3,2.4.0-2
libsqlite3-0,3.27.2-3+deb10u2
libss2,1.44.5-1+deb10u3
libssh2-1,1.8.0-2.1+deb10u1
libssl1.1,1.1.1n-0+deb10u6
libstdc++6,8.3.0-6
libsub-exporter-perl,0.987-1
libsub-install-perl,0.928-1
libsystemd0,241-7~deb10u10
libtasn1-6,4.13-3+deb10u1
libthai-data,0.1.28-2
libthai0,0.1.28-2
libtiff5,4.1.0+git191117-2~deb10u8
libtinfo5,6.1+20181013-2+deb10u4
libtinfo6,6.1+20181013-2+deb10u4
libtry-tiny-perl,0.30-1
libudev1,241-7~deb10u10
libunicode-linebreak-perl,0.0.20190101-1
libunistring2,0.9.10-1
libuuid1,2.33.1-0.1
libwebp6,0.6.1-2+deb10u3
libx11-6,2:1.6.7-1+deb10u3
libx11-data,2:1.6.7-1+deb10u3
libx11-xcb1,2:1.6.7-1+deb10u3
libxau6,1:1.0.8-1+b2
libxcb-dri2-0,1.13.1-2
libxcb-dri3-0,1.13.1-2
libxcb-glx0,1.13.1-2
libxcb-present0,1.13.1-2
libxcb-render0,1.13.1-2
libxcb-shm0,1.13.1-2
libxcb-sync1,1.13.1-2
libxcb1,1.13.1-2
libxdamage1,1:1.1.4-3+b3
libxdmcp6,1:1.1.2-3
libxext6,2:1.3.3-1+b2
libxfixes3,1:5.0.3-1
libxi6,2:1.7.9-1
libxpm4,1:3.5.12-1+deb10u1
libxrender1,1:0.9.10-1
libxshmfence1,1.3-1
libxtst6,2:1.2.3-1
libxxf86vm1,1:1.1.4-1+b2
libyaml-tiny-perl,1.73-1
libzstd1,1.3.8+dfsg-3+deb10u2
login,1:4.5-1.1
lsb-base,10.2019051400
make,4.2.1-1.2
mawk,1.3.3-17+b3
mime-support,3.62
mount,2.33.1-0.1
ncurses-base,6.1+20181013-2+deb10u3
ncurses-bin,6.1+20181013-2+deb10u3
openjdk-11-jre,11.0.20+8-1~deb10u1
openjdk-11-jre-headless,11.0.20+8-1~deb10u1
openssl,1.1.1n-0+deb10u6
passwd,1:4.5-1.1
perl,5.28.1-6+deb10u1
perl-base,5.28.1-6+deb10u1
perl-modules-5.28,5.28.1-6+deb10u1
poppler-data,0.4.9-2
python3,3.7.3-1
python3-minimal,3.7.3-1
python3-pkg-resources,40.8.0-1
python3-pygments,2.3.1+dfsg-1+deb10u2
python3.7,3.7.3-2+deb10u5
python3.7-minimal,3.7.3-2+deb10u5
readline-common,7.0-5
sed,4.7-1
sensible-utils,0.0.12
sysvinit-utils,2.93-8
tar,1.30+dfsg-6
tzdata,2021a-0+deb10u11
ucf,3.0038+nmu1
unzip,6.0-23+deb10u3
util-linux,2.33.1-0.1
wget,1.20.1-1.1
x11-common,1:7.7+19
zlib1g,1:1.2.11.dfsg-1+deb10u2
