Package,Version
bgteubner,2.11
bguq,0.4
bhcexam,0.4
bib-fr,1.5
bib2gls,1.8
bib2gls.x86_64-linux,
bibarts,2.1
biber,2.12
biber.x86_64-linux,
bibexport,3.02
bibexport.x86_64-linux,
bibhtml,2.0.2
biblatex,3.12
biblatex-abnt,3.4
biblatex-anonymous,2.6.2
biblatex-apa,7.7
biblatex-archaeology,2.1
biblatex-arthistory-bonn,1.2
biblatex-bath,2.0.1
biblatex-bookinarticle,1.3.1a
biblatex-bookinother,2.3.1
biblatex-bwl,0.02
biblatex-caspervector,0.3.3
biblatex-cheatsheet,
biblatex-chem,1.1w
biblatex-chicago,1.0rc5
biblatex-claves,1.2.1
biblatex-dw,1.7
biblatex-enc,1.0
biblatex-ext,0.7
biblatex-fiwi,1.7
biblatex-gb7714-2015,1.0q
biblatex-gost,1.17
biblatex-historian,0.4
biblatex-ieee,1.3
biblatex-ijsra,0.1
biblatex-iso690,0.3.2
biblatex-juradiss,0.1g
biblatex-lni,0.5
biblatex-luh-ipw,0.3
biblatex-manuscripts-philology,2.1.0
biblatex-mla,1.9
biblatex-morenames,1.3.1
biblatex-multiple-dm,1.0.1
biblatex-musuos,1.0
biblatex-nature,1.3c
biblatex-nejm,0.5.0
biblatex-nottsclassic,0.1
biblatex-opcit-booktitle,1.9.0
biblatex-oxref,1.1
biblatex-philosophy,1.9.8a
biblatex-phys,1.1
biblatex-publist,1.15
biblatex-realauthor,2.7.1a
biblatex-sbl,0.11
biblatex-science,1.2
biblatex-shortfields,1.0.1
biblatex-socialscienceshuberlin,0.0.1
biblatex-source-division,2.4.2
biblatex-subseries,1.2.0
biblatex-swiss-legal,1.1.2a
biblatex-trad,0.4a
biblatex-true-citepages-omit,2.0.0
bibleref,1.23
bibleref-french,2.3.2
bibleref-german,1.0a
bibleref-lds,1.0
bibleref-mouth,1.0
bibleref-parse,1.1
bibletext,0.1.2
biblist,
bibtex,0.99d
bibtex.x86_64-linux,
bibtex8,3.71
bibtex8.x86_64-linux,
bibtexperllibs,1.5
bibtexu,
bibtexu.x86_64-linux,
bibtopic,1.1a
bibtopicprefix,1.10
bibunits,2.2
bidi,35.5
bidi-atbegshi,0.1
bidicontour,0.2
bidihl,0.1c
bidipagegrid,0.2
bidipresentation,0.3
bidishadowtext,0.1
bigfoot,2.1
bigints,
binarytree,1.01
binomexp,1.0
biochemistry-colors,1.00
biocon,
biolett-bst,
bitelist,0.1
bitpattern,
bizcard,1.1
blacklettert1,
blindtext,2.0
blkarray,0.07
blochsphere,1.1
block,
blockdraw_mp,
bloques,1.0
blowup,1.0
blox,2.5
bnumexpr,1.2d
bodegraph,1.4
bohr,1.0
boisik,0.5
boites,1.1
bold-extra,0.1
boldtensors,
bondgraph,1.0
bondgraphs,1.0.1
bookcover,2.3
bookdb,0.2
bookest,1.1
bookhands,
booklet,0.7b
bookman,
booktabs,1.618033
booktabs-de,1.61803
booktabs-fr,1.00
boolexpr,3.14
boondox,1.02d
bophook,0.02
borceux,
bosisio,
boxedminipage,2
boxedminipage2e,1.0
boxhandler,1.30
bpchem,1.1
bpolynomial,0.5
br-lex,
bracketkey,1.0
braids,1.0
braille,
braket,
brandeis-dissertation,2.0
brandeis-problemset,0.4.4
breakcites,
breakurl,1.40
bredzenie,1.0
breqn,0.98f
bropd,1.2
brushscr,
bullcntr,0.04
bundledoc,3.3
bundledoc.x86_64-linux,
burmese,
businesscard-qrcode,1.2
bussproofs,1.1
bxbase,1.1
bxcalc,1.0a
bxcjkjatype,0.3
bxdpx-beamer,0.3
bxdvidriver,0.2a
bxeepic,0.2
bxenclose,0.2
bxjaholiday,1.0.0
bxjalipsum,0.3a
bxjaprnind,0.3b
bxjscls,1.9e
bxnewfont,0.2b
bxorigcapt,0.3
bxpapersize,0.3b
bxpdfver,0.4
bxtexlogo,0.4
bxwareki,0.4
bytefield,2.4
c-pascal,1.2
c90,
cabin,
cachepic,1.0
cachepic.x86_64-linux,
caladea,
calcage,0.90
calctab,0.6.1
calculation,1.0
calculator,2.0
calligra,
calligra-type1,001.000
callouts,
calrsfs,
cals,2.4.2
calxxxx-yyyy,20.19a
cancel,2.2
canoniclayout,0.4
cantarell,2.4
capt-of,
captcont,2.0
captdef,
caption,
carbohydrates,0.1
carlisle,
carlito,
carolmin-ps,
cascade,1.01
cascadilla,1.8.2
cases,2.5
casyl,2.0
catchfilebetweentags,1.1
catcodes,r0.2
catechis,2.5
catoptions,0.2.7h
cbcoptic,0.2
cbfonts,
cbfonts-fd,1.2
cc-pl,1.02.2
ccaption,3.2c
ccfonts,1.1
ccicons,1.6
cclicenses,
cd,1.4
cd-cover,1.0
cdpbundl,0.36d
cell,
cellprops,1.4
cellspace,1.7
celtic,1.1
censor,3.22
cesenaexam,0.2
cfr-initials,1.01
cfr-lm,1.5
changebar,3.6c
changelayout,1.0
changelog,1.0.0
changepage,1.0c
changes,3.1.2
chappg,2.1b
chapterfolder,2.0.1
charter,
chbibref,1.0
cheatsheet,0.8
checkcites,2.0
checkcites.x86_64-linux,
checklistings,1.0
checklistings.x86_64-linux,
chem-journal,
chemarrow,0.9
chembst,0.2.5
chemcompounds,
chemcono,1.3
chemexec,1.0
chemfig,1.34
chemformula,4.15e
chemgreek,1.1
chemmacros,5.8b
chemnum,1.2
chemschemex,1.2
chemsec,1.12a
chemstyle,2.0m
cherokee,
chess,1.2
chess-problem-diagrams,1.12
chessboard,1.7
chessfss,1.2a
chet,2.2
chextras,1.01
chicago,
chicago-annote,
chickenize,0.2.5
childdoc,2.0
chivo,1.0
chkfloat,0.1
chktex,1.7.6
chktex.x86_64-linux,
chletter,2.0
chngcntr,1.1a
chordbars,1.1
chronology,1.1.1
chronosys,1.2
chs-physics-report,
chscite,2.9999
churchslavonic,0.2.1
cinzel,
circ,1.1
circuitikz,0.8.3
cite,5.5
citeall,1.4
citeref,1.1
cje,1.06
cjhebrew,0.2a
cjk,4.8.4
cjk-gs-integrate,20180306.0
cjk-gs-integrate.x86_64-linux,
cjk-ko,1.8
cjkpunct,4.8.4
cjkutils,4.8.4
cjkutils.x86_64-linux,
classics,0.1
classicthesis,4.6
classpack,0.77
cleanthesis,0.3.1
clearsans,
clefval,
cleveref,0.21.4
clipboard,0.3
clock,
cloze,1.2
clrdblpg,1.0
clrscode,1.7
clrscode3e,
clrstrip,
cluttex,0.2
cluttex.x86_64-linux,
cm,
cm-lgc,0.5
cm-mf-extra-bold,
cm-super,
cm-unicode,0.7.0
cmap,1.0h
cmarrows,0.9
cmbright,8.1
cmcyr,
cmdstring,1.1
cmdtrack,
cmexb,
cmextra,
cmll,
cmpica,
cmpj,3.01
cmsd,
cmsrb,2.0
cmtiup,2.1
cnbwp,
cnltx,0.13
cns,4.2.0
cntformats,0.7
cntperchap,0.3
cochineal,1.049
codedoc,0.3
codepage,
codesection,0.1
codicefiscaleitaliano,1.2
coelacanth,
collcell,0.5
collectbox,0.4b
collection-basic,
collection-bibtexextra,
collection-binextra,
collection-context,
collection-fontsextra,
collection-fontsrecommended,
collection-fontutils,
collection-formatsextra,
collection-games,
collection-humanities,
collection-langarabic,
collection-langchinese,
collection-langcjk,
collection-langcyrillic,
collection-langczechslovak,
collection-langenglish,
collection-langeuropean,
collection-langfrench,
collection-langgerman,
collection-langgreek,
collection-langitalian,
collection-langjapanese,
collection-langkorean,
collection-langother,
collection-langpolish,
collection-langportuguese,
collection-langspanish,
collection-latex,
collection-latexextra,
collection-latexrecommended,
collection-luatex,
collection-mathscience,
collection-metapost,
collection-music,
collection-pictures,
collection-plaingeneric,
collection-pstricks,
collection-publishers,
collection-texworks,
collection-xetex,
collref,2.0c
colophon,1.1
colordoc,
colorinfo,0.3c
coloring,0.2
colorprofiles,20181105
colorsep,
colorspace,1.2.0
colortab,1.0
colortbl,1.0d
colorwav,1.0
colorweb,1.3
colourchange,1.22
combelow,0.99f
combine,0.7a
combinedgraphics,0.2.2
combofont,0.2
comfortaa,2.3
comicneue,1.1
comma,1.2
commado,r0.11a
commath,0.3
commedit,1.02
comment,3.8
compactbib,
competences,1.0
complexity,0.81a
components-of-TeX,
comprehensive,12.3
computational-complexity,2.25f
concepts,0.0.5-r1
concmath,
concmath-fonts,
concprog,
concrete,
confproc,0.8
constants,1.0
conteq,0.1.1
context,
context-account,
context-algorithmic,
context-animation,
context-annotation,2013.05.27
context-bnf,
context-chromato,
context-cmscbf,
context-cmttbf,
context-construction-plan,
context-cyrillicnumbers,
context-degrade,
context-fancybreak,
context-filter,
context-french,
context-fullpage,
context-gantt,
context-gnuplot,
context-handlecsv,
context-inifile,
context-layout,
context-letter,
context-lettrine,
context-mathsets,
context-notes-zh-cn,
context-rst,0.6c
context-ruby,
context-simplefonts,
context-simpleslides,
context-title,2012.04.11
context-transliterator,
context-typearea,
context-typescripts,
context-vim,
context-visualcounter,2013.04.01
context.x86_64-linux,
continue,0.2
contour,2.14
contracard,1.1.0
conv-xkv,
convbkmk,0.30
convbkmk.x86_64-linux,
cooking,0.9b
cooking-units,1.45
cookingsymbols,1.1
cool,1.35
coollist,1.4
coolstr,2.2
coolthms,1.2
cooltooltips,1.0
coordsys,1.4
copyedit,1.6
copyrightbox,0.1
cormorantgaramond,3.00
correctmathalign,1.1
coseoul,1.1
countriesofeurope,0.22
counttexruns,1.00a
courier,
courier-scaled,
courseoutline,1.0
coursepaper,2.0
coverpage,1.01
covington,2.0
cprotect,1.0e
cqubeamer,1.0
cquthesis,1.30
crbox,0.1
crimson,
crimsonpro,
crop,1.5
crossreference,
crossreftools,0.9
crossrefware,
crossrefware.x86_64-linux,
crossword,1.9
crosswrd,3.0
cryptocode,0.3.0
cryst,
cs,
csbulletin,1.2
cslatex,
cslatex.x86_64-linux,
csplain,
csplain.x86_64-linux,
csquotes,5.2d
csquotes-de,1.01
css-colors,1.02
cstex,
cstypo,0.03
csvsimple,1.20
ctable,1.31
ctablestack,1.0
ctan-o-mat,1.2
ctan-o-mat.x86_64-linux,
ctan_chk,1.0
ctanbib,0.1a
ctanbib.x86_64-linux,
ctanify,1.9.1
ctanify.x86_64-linux,
ctanupload,1.2c
ctanupload.x86_64-linux,
ctex,2.4.14
ctex-faq,
ctib,
ctie,1.1
ctie.x86_64-linux,
cuisine,0.7
cuprum,
currency,0.4
currfile,0.7c
currvita,
cursolatex,
curve,1.16
curve2e,1.61
curves,1.55
custom-bib,4.33
cutwin,0.1
cv,
cv4tw,0.2
cweb,3.64b
cweb-latex,
cweb-old,
cweb.x86_64-linux,
cyber,2.2
cybercic,2.1
cyklop,0.915
cyrillic,
cyrillic-bin,
cyrillic-bin.x86_64-linux,
cyrplain,
dad,1.2
dancers,
dantelogo,0.03
dashbox,1.14
dashrule,1.3
dashundergaps,2.0d
dataref,0.6
datatool,2.31
dateiliste,0.6
datenumber,0.02
datetime,2.60
datetime2,1.5.3
datetime2-bahasai,1.01
datetime2-basque,1.2a
datetime2-breton,1.1
datetime2-bulgarian,1.1
datetime2-catalan,1.1
datetime2-croatian,1.0
datetime2-czech,1.1
datetime2-danish,1.1
datetime2-dutch,1.1
datetime2-en-fulltext,1.0
datetime2-english,1.04
datetime2-esperanto,1.1
datetime2-estonian,1.1
datetime2-finnish,1.1
datetime2-french,1.02
datetime2-galician,1.0
datetime2-german,2.1
datetime2-greek,1.1
datetime2-hebrew,1.1
datetime2-icelandic,1.1
datetime2-irish,1.1
datetime2-it-fulltext,1.6
datetime2-italian,1.3
datetime2-latin,1.0
datetime2-lsorbian,1.1
datetime2-magyar,1.1
datetime2-norsk,1.1
datetime2-polish,1.1
datetime2-portuges,1.1
datetime2-romanian,1.01
datetime2-russian,1.1
datetime2-samin,1.1
datetime2-scottish,1.0
datetime2-serbian,1.0
datetime2-slovak,1.0
datetime2-slovene,1.0
datetime2-spanish,1.1
datetime2-swedish,1.0
datetime2-turkish,1.0
datetime2-ukrainian,1.2a
datetime2-usorbian,1.0
datetime2-welsh,1.0
dblfloatfix,1.0a
dccpaper,1.7.1
dcpic,5.0.0
de-macro,1.3
de-macro.x86_64-linux,
decimal,
decorule,0.6
dehyph,
dehyph-exptl,0.5
dejavu,2.34
dejavu-otf,0.04
delim,1.0
delimseasy,2.0
delimset,1.1
delimtxt,
denisbdoc,0.7
detex,
detex.x86_64-linux,
dhua,0.11
diadia,1.1
diadia.x86_64-linux,
diagbox,2.2
diagmac2,2.1
diagnose,0.2
dialogl,
dice,
dichokey,
dickimaw,
dictsym,
diffcoeff,3
digiconfigs,0.5
dijkstra,0.11
din1505,
dinat,2.5
dinbrief,
dingbat,1.0
directory,1.20
dirtree,0.32
dirtytalk,1.0
disser,1.5.0
ditaa,0.9
dithesis,0.2
dk-bib,0.6
dlfltxb,
dnaseq,0.01
dnp,
doc-pictex,
docbytex,
doclicense,1.8.0
docmfp,1.2d
docmute,1.4
docsurvey,
doctools,0.1
documentation,0.1
doi,
doipubmed,1.01
dosepsbin,1.2
dosepsbin.x86_64-linux,
dot2texi,3.0
dotarrow,0.01a
dotseqn,1.1
dottex,0.6
doublestroke,1.111
dowith,r0.32
download,1.1
dox,2.4
dozenal,7.2
dpfloat,
dprogress,0.1
drac,1
draftcopy,2.16
draftfigure,0.2
draftwatermark,1.2
dramatist,1.2e
dratex,
drawmatrix,1.5.0
drawstack,
drm,4.4
droid,2.1
droit-fr,1.2
drs,1.1b
drv,0.97
dsptricks,1.0
dsserif,1.00
dtk,2.07a
dtl,0.6.1
dtl.x86_64-linux,
dtxdescribe,1.00
dtxgallery,1
dtxgen,1.07
dtxgen.x86_64-linux,
dtxtut,2.1
ducksay,2.3
duckuments,0.4c
duerer,
duerer-latex,1.1
duotenzor,1.00
dutchcal,1.0
dvdcoll,1.1a
dvgloss,0.1
dvi2tty,6.0.0
dvi2tty.x86_64-linux,
dviasm,
dviasm.x86_64-linux,
dvicopy,1.5
dvicopy.x86_64-linux,
dvidvi,
dvidvi.x86_64-linux,
dviincl,1.00
dviinfox,1.04
dviinfox.x86_64-linux,
dviljk,
dviljk.x86_64-linux,
dvipdfmx,
dvipdfmx.x86_64-linux,
dvipng,1.15
dvipng.x86_64-linux,
dvipos,
dvipos.x86_64-linux,
dvips,
dvips.x86_64-linux,
dvipsconfig,1.6
dvisvgm,2.3
dvisvgm.x86_64-linux,
dynamicnumber,0.1.3
dynblocks,0.2b
dynkin-diagrams,3.141592
dyntree,1.0
e-french,6.02
ean,
ean13isbn,
easy,0.99
easy-todo,
easyfig,1.2a
easyformat,1.4.0
easylist,1.3
easyreview,1.0
ebezier,4
ebgaramond,
ebgaramond-maths,1.1
ebong,
ebong.x86_64-linux,
ebook,
ebproof,2.0
ebsthesis,1.0
ec,1.0
ecc,
ecclesiastic,0.3
ecgdraw,0.1
ecltree,1.1a
eco,1.3
ecobiblatex,1.0
econ-bst,2.5
econometrics,1.0
economic,
ecothesis,1.2
ecv,0.3
ed,1.8
edfnotes,0.6b
edmac,3.17
edmargin,1.2
ednotes,1.3a
