Package,Version
12many,0.3
2up,1.3a
Asana-Math,000.958
ESIEEcv,
GS1,22
HA-prosper,4.21
IEEEconf,1.4
IEEEtran,1.8b
MemoirChapStyles,1.7e
SIstyle,2.3a
SIunits,1.36
Tabbing,
Type1fonts,2.14
a0poster,1.22b
a2ping,2.84p
a2ping.x86_64-linux,
a4wide,
a5comb,4
aaai-named,
aalok,0.2
aastex,6.3.1
abbr,
abc,2.0b
abnt,
abntex2,1.9.7
abraces,1.-
abstract,1.2a
abstyles,
academicons,1.9.0
accanthis,
accents,1.4
accessibility,2.0.3
accfonts,0.25
accfonts.x86_64-linux,
accsupp,0.6
achemso,3.13c
acmart,1.75
acmconf,1.3
acro,3.5
acronym,1.47
acroterm,0.1
active-conf,0.3a
actuarialangle,2.1
actuarialsymbol,1.1
addfont,1.1
addliga,1.0
addlines,0.3
adfathesis,2.42
adforn,1.1b
adfsymbols,1.2b
adhocfilelist,
adhocfilelist.x86_64-linux,
adigraph,1.7.1
adjmulticol,1.2
adjustbox,1.3
adobemapping,
adrconv,1.4
adtrees,1.1
advdate,
ae,1.4
aeguill,
aesupp,1
afm2pl,
afm2pl.x86_64-linux,
afparticle,1.3
afthesis,2.7
aguplus,1.6b
aiaa,3.6
aichej,
ajl,
akktex,0.3.2
akletter,1.5i
akshar,0.2
albatross,0.3.0
albatross.x86_64-linux,
alegreya,
aleph,
aleph.x86_64-linux,
alertmessage,1.1
alfaslabone,0.0.1
alg,
algobox,1.3
algolrevived,1.052
algorithm2e,5.2
algorithmicx,
algorithms,0.1
algpseudocodex,1.0
algxpar,0.91
aligned-overset,0.1.0
alkalami,1.000
allrunes,2.1.1
almendra,
almfixed,0.92
alnumsec,0.03
alpha-persian,1.3
alphalph,2.6
altfont,1.1
ametsoc,4.3.2
amiri,0.113
amiweb2c-guide,1.0
amsaddr,1.1
amscdx,2.2x
amscls,2.20.6
amscls-doc,
amsfonts,3.04
amslatex-primer,2.3
amsldoc-it,
amsldoc-vn,2.0
amsmath,
amsmath-it,
amsrefs,2.14
amstex,
amstex.x86_64-linux,
amsthdoc-it,
animate,
annee-scolaire,1.6
annotate,
anonchap,1.1a
anonymous-acm,1.0
anonymouspro,2.2
answers,2.16
antanilipsum,0.8.1
antiqua,001.003
antomega,0.8
antt,2.08
anufinalexam,
anyfontsize,
anysize,
aobs-tikz,1.0
aomart,1.24
apa,1.3.4
apa6,2.34
apa6e,0.3
apa7,2.10
apacite,6.03
apalike-german,
apalike2,
apnum,1.7
appendix,1.2c
appendixnumberbeamer,1.2
apprendre-a-programmer-en-tex,
apprends-latex,4.02
apptools,1.0
apxproof,1.2.1
arabi,1.1
arabi-add,1.0
arabicfront,1.1
arabluatex,1.20
arabtex,3.17
arabxetex,1.2.1
aramaic-serto,1.0
arara,6.0.0
arara.x86_64-linux,
archaeologie,2.4.5
archaic,
archivo,0.0.2
arcs,1
arev,
arimo,
armtex,3.0-beta3
around-the-bend,
arphic,
arphic-ttf,
arraycols,1.1
arrayjobx,1.04
arraysort,1.0
arsclassica,
articleingud,0.3
arvo,
arydshln,1.76
asaetr,1.0a
asapsym,1.0
ascelike,2.3
ascii-chart,
ascii-font,2.0
asciilist,2.2b
ascmac,2.1
askinclude,2.7
askmaps,0.2
asmeconf,1.26
asmejour,1.15
aspectratio,2.0
assignment,
assoccnt,0.8
association-matrix,1.0
astro,2.20
asyfig,0.1c
asymptote,2.69
asymptote-by-example-zh-cn,
asymptote-faq-zh-cn,
asymptote-manual-zh-cn,
asymptote.x86_64-linux,
asypictureb,0.3
atbegshi,1.19
atenddvi,1.5
atkinson,
attachfile,1.9
attachfile2,2.11
attachfile2.x86_64-linux,
atveryend,1.11
aucklandthesis,
augie,
auncial-new,2.0
aurical,1.5
aurl,
authoraftertitle,1.0
authorarchive,1.1.1
authordate,
authorindex,
authorindex.x86_64-linux,
auto-pst-pdf,0.7
auto-pst-pdf-lua,0.03
autoaligne,1.5
autoarea,0.3a
autobreak,0.3
autofancyhdr,0.1
automata,0.3
autonum,0.3.11
autopdf,1.1
autosp,
autosp.x86_64-linux,
auxhook,1.6
avantgar,
avremu,0.1
awesomebox,0.6
axessibility,3.0
axodraw2,2.1.1c
axodraw2.x86_64-linux,
b1encoding,1.0
babel,3.55
babel-albanian,1.0d
babel-azerbaijani,1.0a
babel-basque,1.0f
babel-belarusian,1.5
babel-bosnian,1.1
babel-breton,1.0h
babel-bulgarian,1.2g
babel-catalan,2.2p
babel-croatian,1.3l
babel-czech,3.1a
babel-danish,1.3s
babel-dutch,3.8j
babel-english,3.3r
babel-esperanto,1.4t
babel-estonian,1.1a
babel-finnish,1.3s
babel-french,3.5l
babel-friulan,1.3
babel-galician,4.3c
babel-georgian,2.2
babel-german,2.13
babel-greek,1.10
babel-hebrew,2.3h
babel-hungarian,1.5c
babel-icelandic,1.3
babel-indonesian,1.0m
babel-interlingua,1.6
babel-irish,1.0h
babel-italian,1.4.04
babel-japanese,
babel-kurmanji,1.1
babel-latin,3.5
babel-latvian,2.0b
babel-macedonian,
babel-malay,1.0m
babel-norsk,2.0i
babel-occitan,0.2
babel-piedmontese,1.0
babel-polish,1.2l
babel-portuges,1.2s
babel-romanian,1.2l
babel-romansh,
babel-russian,1.3m
babel-samin,1.0c
babel-scottish,1.0g
babel-serbian,2.0a
babel-serbianc,3.0a
babel-slovak,3.1a
babel-slovenian,1.2n
babel-sorbian,1.0i
babel-spanish,5.0p
babel-swedish,2.3e
babel-thai,1.0.0
babel-turkish,1.4
babel-ukrainian,1.4e
babel-vietnamese,1.4
babel-welsh,1.1a
babelbib,1.34
background,2.1
backnaur,3.1
baekmuk,2.2.1
bagpipe,3.02
bangorcsthesis,1.5.3
bangorexam,1.4.0
bangtex,
bankstatement,0.9.2
barcodes,
bardiag,0.4a
barr,
barracuda,0.0.10
bartel-chess-fonts,
bashful,0.93
basicarith,1.1
baskervald,1.016
baskervaldx,1.076
baskervillef,1.051
basque-book,1.20
basque-date,1.05
bath-bst,4.0
bbcard,
bbding,1.01
bbm,
bbm-macros,
bbold,1.01
bbold-type1,
bchart,0.1.3
bclogo,3.1
